,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
995,360610140003.0,[0.2167 0.0972 0.1983 0.4878],[0.2089 0.0558 0.1316 0.1502 0.4535],[0.1786 0.0304 0.0217 0.0341 0.0492 0.0824 0.0793 0.071  0.1308 0.3226],0.31706666666666666,0.32799999999999996,0.36883333333333335
996,360610140004.0,[0.0851 0.1983 0.1732 0.5434],[0.0738 0.1483 0.1506 0.2126 0.4144],[0.0469 0.0272 0.0636 0.0849 0.0612 0.0897 0.0534 0.1588 0.1703 0.2443],0.3912,0.2839375,0.3036111111111111
997,360610140005.0,[0.1827 0.1908 0.1126 0.5141],[0.1586 0.1344 0.1447 0.1175 0.445 ],[0.0932 0.0653 0.045  0.089  0.0803 0.064  0.0434 0.074  0.1302 0.315 ],0.35200000000000004,0.30612500000000004,0.27277777777777784
998,360610140006.0,[0.1942 0.1131 0.216  0.4769],[0.1132 0.1304 0.2082 0.1089 0.4393],[0.0732 0.04   0.0974 0.0331 0.0638 0.1446 0.0351 0.0736 0.1542 0.285 ],0.3024,0.309375,0.3153333333333333
999,360810033001.0,[0.2616 0.307  0.2248 0.2066],[0.2048 0.2482 0.2742 0.1167 0.1571],[0.1411 0.0637 0.1146 0.1336 0.1156 0.1586 0.0585 0.0581 0.0706 0.0865],0.09146666666666665,0.158375,0.18116666666666667
1000,360810033002.0,[0.2094 0.33   0.2879 0.1722],[0.1904 0.1541 0.3653 0.1369 0.1532],[0.0775 0.1129 0.0435 0.1107 0.1949 0.1709 0.0979 0.039  0.0758 0.0775],0.15753333333333333,0.20668750000000002,0.21011111111111114
1001,360050225003.0,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[0.5 0.5 0.  0.  0.  0.  0.  0.  0.  0. ],1.0,0.9999999999999999,0.888888888888889
1002,360050225004.0,[0.598 0.158 0.133 0.112],[0.574 0.158 0.082 0.083 0.102],[0.401 0.173 0.097 0.062 0.023 0.058 0.053 0.03  0.052 0.05 ],0.4633333333333333,0.4681249999999999,0.41611111111111115
1003,360470278002.0,[0.315 0.391 0.178 0.116],[0.241 0.324 0.239 0.104 0.093],[0.074 0.167 0.197 0.126 0.141 0.098 0.06  0.044 0.06  0.032],0.27466666666666667,0.254375,0.25722222222222224
1004,360811483001.0,[0.1   0.254 0.238 0.408],[0.073 0.103 0.25  0.165 0.408],[0.028 0.045 0.076 0.027 0.177 0.072 0.076 0.089 0.248 0.16 ],0.21599999999999997,0.323125,0.3177777777777778
