,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
103,169,[0.    0.143 0.571 0.286],[0.    0.    0.714 0.    0.286],[0.    0.    0.    0.    0.143 0.571 0.    0.    0.286 0.   ],0.476,0.7500000000000001,0.7777777777777777
104,170,[0.    0.885 0.    0.115],[0.    0.    0.885 0.    0.115],[0.    0.    0.    0.    0.885 0.    0.    0.    0.115 0.   ],0.8466666666666667,0.8562499999999998,0.8888888888888888
105,171,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
106,172,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
107,173,[0.    0.059 0.941 0.   ],[0. 0. 1. 0. 0.],[0.    0.    0.    0.    0.059 0.941 0.    0.    0.    0.   ],0.9213333333333332,1.0,0.9344444444444446
108,174,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
109,175,[0.    0.    0.667 0.333],[0.    0.    0.667 0.    0.333],[0.    0.    0.    0.    0.    0.667 0.    0.    0.333 0.   ],0.6666666666666666,0.7499999999999999,0.888888888888889
110,178,[0.  0.  0.6 0.4],[0.  0.  0.6 0.  0.4],[0.  0.  0.  0.  0.  0.6 0.  0.  0.4 0. ],0.6666666666666666,0.7499999999999999,0.8888888888888891
111,179,[0.    0.032 0.613 0.355],[0.    0.    0.645 0.    0.355],[0.    0.    0.    0.    0.032 0.613 0.    0.    0.335 0.019],0.624,0.7499999999999999,0.8316666666666667
112,180,[0.    0.033 0.6   0.367],[0.    0.    0.633 0.    0.367],[0.    0.    0.    0.    0.033 0.6   0.    0.    0.367 0.   ],0.6226666666666666,0.7499999999999999,0.8522222222222221
113,181,[0.001 0.202 0.508 0.288],[0.    0.001 0.71  0.    0.288],[0.    0.    0.001 0.    0.202 0.508 0.    0.    0.257 0.031],0.3953333333333333,0.748125,0.7416666666666666
114,182,[0.001 0.258 0.528 0.213],[0.    0.001 0.786 0.    0.213],[0.    0.    0.001 0.    0.258 0.528 0.    0.    0.213 0.001],0.38133333333333336,0.7487499999999999,0.7761111111111111
115,183,[0.    0.112 0.716 0.172],[0.    0.    0.828 0.    0.172],[0.    0.    0.    0.    0.112 0.716 0.    0.    0.172 0.   ],0.6213333333333333,0.7849999999999999,0.7777777777777779
116,184,[0.001 0.003 0.786 0.209],[0.    0.001 0.79  0.    0.209],[0.    0.    0.001 0.    0.003 0.786 0.    0.    0.207 0.002],0.7153333333333333,0.7487499999999999,0.8816666666666667
117,185,[0.003 0.081 0.622 0.294],[0.    0.003 0.703 0.    0.294],[0.    0.    0.003 0.    0.081 0.622 0.    0.    0.294 0.   ],0.5546666666666668,0.74625,0.7955555555555556
118,186,[0.    0.128 0.254 0.618],[0.    0.    0.382 0.    0.618],[0.    0.    0.    0.    0.128 0.254 0.    0.    0.37  0.248],0.496,0.7499999999999999,0.6666666666666666
119,187,[0.047 0.002 0.514 0.436],[0.    0.047 0.516 0.    0.436],[0.    0.    0.047 0.    0.002 0.514 0.    0.    0.369 0.067],0.6006666666666667,0.6906249999999999,0.7594444444444444
120,188,[0.002 0.081 0.747 0.17 ],[0.    0.002 0.827 0.    0.17 ],[0.    0.    0.002 0.    0.081 0.747 0.    0.    0.132 0.038],0.6626666666666666,0.7843749999999999,0.7544444444444446
121,189,[0.002 0.018 0.812 0.168],[0.    0.002 0.83  0.    0.168],[0.    0.    0.002 0.    0.018 0.812 0.    0.    0.168 0.   ],0.7493333333333334,0.7875,0.8666666666666667
122,190,[0.    0.079 0.696 0.225],[0.    0.    0.775 0.    0.225],[0.    0.    0.    0.    0.079 0.696 0.    0.    0.22  0.004],0.5946666666666667,0.7499999999999999,0.7961111111111112
123,191,[0.009 0.068 0.601 0.322],[0.    0.009 0.669 0.    0.322],[0.    0.    0.009 0.    0.068 0.601 0.    0.    0.322 0.   ],0.5640000000000001,0.7387499999999999,0.8033333333333335
124,192,[0.184 0.125 0.401 0.289],[0.    0.184 0.527 0.    0.289],[0.    0.    0.184 0.    0.125 0.401 0.    0.    0.289 0.   ],0.254,0.52,0.6661111111111111
125,193,[0.    0.043 0.631 0.326],[0.    0.    0.674 0.    0.326],[0.    0.    0.    0.    0.043 0.631 0.    0.    0.326 0.   ],0.6093333333333334,0.7500000000000001,0.8411111111111113
126,194,[0.  0.5 0.5 0. ],[0. 0. 1. 0. 0.],[0.  0.  0.  0.  0.5 0.5 0.  0.  0.  0. ],0.6666666666666666,1.0,0.888888888888889
127,195,[0.167 0.167 0.167 0.5  ],[0.    0.167 0.333 0.    0.5  ],[0.    0.    0.167 0.    0.167 0.167 0.    0.    0.5   0.   ],0.33266666666666667,0.54125,0.6672222222222223
128,196,[0.    0.143 0.857 0.   ],[0. 0. 1. 0. 0.],[0.    0.    0.    0.    0.143 0.857 0.    0.    0.    0.   ],0.8093333333333333,1.0,0.888888888888889
129,198,[0.  0.1 0.8 0.1],[0.  0.  0.9 0.  0.1],[0.  0.  0.  0.  0.1 0.8 0.  0.  0.1 0. ],0.7333333333333334,0.875,0.7777777777777779
130,199,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
131,200,[0.  0.  0.4 0.6],[0.  0.  0.4 0.  0.6],[0.  0.  0.  0.  0.  0.4 0.  0.  0.6 0. ],0.6666666666666666,0.7499999999999999,0.888888888888889
132,201,[0.  0.  0.8 0.2],[0.  0.  0.8 0.  0.2],[0.  0.  0.  0.  0.  0.8 0.  0.  0.2 0. ],0.7333333333333334,0.7499999999999999,0.888888888888889
133,202,[0.  0.  0.5 0.5],[0.  0.  0.5 0.  0.5],[0.  0.  0.  0.  0.  0.5 0.  0.  0.5 0. ],0.6666666666666666,0.7499999999999999,0.888888888888889
134,203,[0.    0.429 0.286 0.286],[0.    0.    0.714 0.    0.286],[0.    0.    0.    0.    0.429 0.286 0.    0.    0.286 0.   ],0.3339999999999999,0.7500000000000001,0.7783333333333332
135,204,[0.    0.043 0.913 0.043],[0.    0.    0.957 0.    0.043],[0.    0.    0.    0.    0.043 0.913 0.    0.    0.022 0.022],0.8846666666666668,0.9462499999999999,0.9033333333333335
136,205,[0.    0.    0.106 0.894],[0.    0.    0.106 0.    0.894],[0.    0.    0.    0.    0.    0.106 0.    0.    0.894 0.   ],0.8586666666666667,0.8674999999999999,0.888888888888889
137,206,[0.007 0.058 0.912 0.024],[0.    0.007 0.969 0.    0.024],[0.    0.    0.007 0.    0.058 0.912 0.    0.    0.024 0.   ],0.882,0.9612499999999998,0.9016666666666667
138,207,[0.001 0.198 0.681 0.121],[0.    0.001 0.879 0.    0.121],[0.    0.    0.001 0.    0.198 0.681 0.    0.    0.119 0.001],0.574,0.8481249999999999,0.7755555555555554
139,208,[0.    0.37  0.395 0.235],[0.    0.    0.765 0.    0.235],[0.    0.    0.    0.    0.37  0.395 0.    0.    0.235 0.   ],0.35333333333333333,0.7499999999999999,0.7777777777777778
140,209,[0.131 0.081 0.581 0.207],[0.    0.131 0.662 0.    0.207],[0.    0.    0.131 0.    0.081 0.581 0.    0.    0.203 0.003],0.44133333333333336,0.58625,0.6838888888888888
141,210,[0.013 0.156 0.532 0.299],[0.    0.013 0.688 0.    0.299],[0.    0.    0.013 0.    0.156 0.532 0.    0.    0.295 0.004],0.4413333333333333,0.7337499999999999,0.7588888888888891
142,211,[0.002 0.056 0.51  0.433],[0.    0.002 0.566 0.    0.433],[0.    0.    0.002 0.    0.056 0.51  0.    0.    0.43  0.003],0.59,0.748125,0.8216666666666667
143,212,[0.017 0.176 0.383 0.423],[0.    0.017 0.559 0.    0.423],[0.    0.    0.017 0.    0.176 0.383 0.    0.    0.42  0.003],0.4086666666666667,0.728125,0.755
144,213,[0.06  0.477 0.252 0.211],[0.    0.06  0.729 0.    0.211],[0.    0.    0.06  0.    0.477 0.252 0.    0.    0.21  0.   ],0.3053333333333333,0.6749999999999998,0.7105555555555557
145,214,[0.009 0.145 0.609 0.237],[0.    0.009 0.754 0.    0.237],[0.    0.    0.009 0.    0.145 0.609 0.    0.    0.236 0.001],0.47866666666666663,0.7387499999999999,0.7666666666666666
146,215,[0.003 0.282 0.399 0.317],[0.    0.003 0.68  0.    0.317],[0.    0.    0.003 0.    0.282 0.399 0.    0.    0.316 0.   ],0.33,0.74625,0.7744444444444445
147,216,[0.    0.098 0.472 0.43 ],[0.   0.   0.57 0.   0.43],[0.    0.    0.    0.    0.098 0.472 0.    0.    0.43  0.   ],0.536,0.7499999999999999,0.78
148,217,[0.001 0.213 0.584 0.201],[0.    0.001 0.798 0.    0.201],[0.    0.    0.001 0.    0.213 0.584 0.    0.    0.201 0.   ],0.446,0.7487499999999999,0.7761111111111111
149,218,[0.003 0.    0.519 0.478],[0.    0.003 0.519 0.    0.478],[0.    0.    0.003 0.    0.    0.519 0.    0.    0.478 0.   ],0.6626666666666666,0.74625,0.8855555555555557
150,219,[0.  0.  0.6 0.4],[0.  0.  0.6 0.  0.4],[0.  0.  0.  0.  0.  0.6 0.  0.  0.4 0. ],0.6666666666666666,0.7499999999999999,0.8888888888888891
151,220,[0.    0.2   0.714 0.086],[0.    0.    0.914 0.    0.086],[0.    0.    0.    0.    0.2   0.714 0.    0.    0.086 0.   ],0.6186666666666667,0.8925,0.7933333333333334
152,221,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
153,223,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
154,225,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
155,226,[0.    0.021 0.927 0.051],[0.    0.    0.949 0.    0.051],[0.    0.    0.    0.    0.021 0.927 0.    0.    0.051 0.   ],0.9033333333333334,0.9362499999999999,0.9194444444444445
156,227,[0.    0.    0.083 0.917],[0.    0.    0.083 0.    0.917],[0.    0.    0.    0.    0.    0.083 0.    0.    0.917 0.   ],0.8893333333333334,0.8962500000000001,0.9077777777777779
157,228,[0.004 0.249 0.122 0.624],[0.    0.004 0.371 0.    0.624],[0.    0.    0.004 0.    0.249 0.122 0.    0.    0.624 0.   ],0.49933333333333335,0.7443749999999999,0.7727777777777778
158,229,[0.002 0.027 0.7   0.27 ],[0.    0.002 0.728 0.    0.27 ],[0.    0.    0.002 0.    0.027 0.7   0.    0.    0.242 0.029],0.6273333333333333,0.7475,0.8244444444444443
